6.0484 	INFO 	Loaded monitor calibration from ['2024_08_16 01:13']
10.0541 	EXP 	window1: mouseVisible = True
10.0542 	EXP 	window1: mouseVisible = True
10.0548 	EXP 	window1: mouseVisible = True
10.0553 	EXP 	window1: mouseVisible = True
10.0598 	EXP 	window1: mouseVisible = True
10.0599 	EXP 	window1: mouseVisible = True
10.0603 	EXP 	window1: mouseVisible = True
10.0607 	EXP 	window1: mouseVisible = True
10.0884 	EXP 	window1: mouseVisible = True
10.0885 	EXP 	window1: mouseVisible = True
10.0889 	EXP 	window1: mouseVisible = True
10.0893 	EXP 	window1: mouseVisible = True
10.1090 	EXP 	window1: mouseVisible = True
10.1091 	EXP 	window1: mouseVisible = True
10.1099 	EXP 	window1: mouseVisible = True
10.1103 	EXP 	window1: mouseVisible = True
0.0073 	EXP 	textbox: autoLog = True
0.0133 	EXP 	Imported C:/Users/kashy/OneDrive/Documents/delay discounting excel.xlsx as conditions, 12 conditions, 3 params
0.0163 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'delay': 0.4, 'freq': 1000, 'condition': 'exp', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0198 	EXP 	polygon: autoDraw = True
1.0128 	INFO 	Keyboard events cleared
1.0121 	EXP 	polygon_2: autoDraw = True
1.0284 	EXP 	polygon: autoDraw = False
1.6760 	DATA 	Keypress: space
1.6803 	EXP 	polygon: autoDraw = False
1.6803 	EXP 	polygon_2: autoDraw = False
2.0622 	EXP 	Sound sound_1 reached end of file
2.0785 	EXP 	Sound sound_1 started
2.3744 	EXP 	Sound sound_1 stopped
2.4017 	EXP 	text: autoDraw = True
2.4017 	EXP 	textbox: autoDraw = True
3.3415 	DATA 	Keypress: 1
3.6547 	DATA 	Keypress: 0
3.8455 	DATA 	Keypress: 0
5.4299 	DATA 	Mouse: Left button down, pos=(913,240)
5.4353 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'delay': 0.7, 'freq': 1000, 'condition': 'exp', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
5.4453 	EXP 	text: autoDraw = False
5.4453 	EXP 	textbox: autoDraw = False
5.4453 	EXP 	polygon: autoDraw = True
5.6475 	DATA 	Mouse:  Left button up, pos=(913,240)
6.4459 	INFO 	Keyboard events cleared
6.4450 	EXP 	polygon: autoDraw = False
6.4450 	EXP 	polygon_2: autoDraw = True
6.8006 	DATA 	Keypress: space
6.8117 	EXP 	polygon: autoDraw = False
6.8117 	EXP 	polygon_2: autoDraw = False
7.4955 	EXP 	Sound sound_1 reached end of file
7.5117 	EXP 	Sound sound_1 started
7.8045 	EXP 	Sound sound_1 stopped
7.8228 	EXP 	text: autoDraw = True
7.8228 	EXP 	textbox: autoDraw = True
8.3914 	DATA 	Keypress: 7
8.5133 	DATA 	Keypress: 0
8.6970 	DATA 	Keypress: 0
9.9718 	DATA 	Mouse: Left button down, pos=(913,240)
9.9808 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'delay': 0.1, 'freq': 400, 'condition': 'unexp', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
9.9949 	EXP 	text: autoDraw = False
9.9949 	EXP 	textbox: autoDraw = False
9.9949 	EXP 	polygon: autoDraw = True
10.1804 	DATA 	Mouse:  Left button up, pos=(913,240)
10.9959 	INFO 	Keyboard events cleared
10.9949 	EXP 	polygon: autoDraw = False
10.9949 	EXP 	polygon_2: autoDraw = True
12.0995 	DATA 	Keypress: space
12.1115 	EXP 	polygon: autoDraw = False
12.1115 	EXP 	polygon_2: autoDraw = False
12.1954 	EXP 	Sound sound_1 reached end of file
12.2116 	EXP 	Sound sound_1 started
12.5040 	EXP 	Sound sound_1 stopped
12.5227 	EXP 	text: autoDraw = True
12.5227 	EXP 	textbox: autoDraw = True
13.4285 	DATA 	Keypress: 2
14.1568 	DATA 	Keypress: 0
14.3567 	DATA 	Keypress: 0
15.7792 	DATA 	Mouse: Left button down, pos=(913,240)
16.0132 	DATA 	Mouse:  Left button up, pos=(913,240)
17.0622 	DATA 	Mouse: Left button down, pos=(913,240)
17.0646 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
17.0777 	EXP 	text: autoDraw = False
17.0777 	EXP 	textbox: autoDraw = False
17.0777 	EXP 	polygon: autoDraw = True
17.2976 	DATA 	Mouse:  Left button up, pos=(913,240)
18.0650 	INFO 	Keyboard events cleared
18.0645 	EXP 	polygon_2: autoDraw = True
18.0812 	EXP 	polygon: autoDraw = False
20.4528 	DATA 	Keypress: 2
21.0033 	DATA 	Keypress: space
21.0160 	EXP 	polygon: autoDraw = False
21.0160 	EXP 	polygon_2: autoDraw = False
21.0987 	EXP 	Sound sound_1 reached end of file
21.1150 	EXP 	Sound sound_1 started
21.4065 	EXP 	Sound sound_1 stopped
21.4307 	EXP 	text: autoDraw = True
21.4307 	EXP 	textbox: autoDraw = True
21.9954 	DATA 	Keypress: 3
22.3053 	DATA 	Keypress: 0
22.4884 	DATA 	Keypress: 0
23.5970 	DATA 	Mouse: Left button down, pos=(913,240)
23.5992 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'delay': 0.7, 'freq': 1000, 'condition': 'exp', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
23.6107 	EXP 	text: autoDraw = False
23.6107 	EXP 	textbox: autoDraw = False
23.6107 	EXP 	polygon: autoDraw = True
23.8129 	DATA 	Mouse:  Left button up, pos=(913,240)
24.6115 	INFO 	Keyboard events cleared
24.6108 	EXP 	polygon: autoDraw = False
24.6108 	EXP 	polygon_2: autoDraw = True
25.0821 	DATA 	Keypress: space
25.0940 	EXP 	polygon: autoDraw = False
25.0940 	EXP 	polygon_2: autoDraw = False
25.7778 	EXP 	Sound sound_1 reached end of file
25.7939 	EXP 	Sound sound_1 started
26.0939 	EXP 	Sound sound_1 stopped
26.1124 	EXP 	text: autoDraw = True
26.1124 	EXP 	textbox: autoDraw = True
26.4748 	DATA 	Keypress: 3
26.6122 	DATA 	Keypress: 0
26.8210 	DATA 	Keypress: 0
27.7364 	DATA 	Mouse: Left button down, pos=(913,240)
27.7463 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'delay': 0.4, 'freq': 1000, 'condition': 'exp', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
27.7607 	EXP 	text: autoDraw = False
27.7607 	EXP 	textbox: autoDraw = False
27.7607 	EXP 	polygon: autoDraw = True
27.9467 	DATA 	Mouse:  Left button up, pos=(913,240)
28.7614 	INFO 	Keyboard events cleared
28.7606 	EXP 	polygon: autoDraw = False
28.7606 	EXP 	polygon_2: autoDraw = True
29.0494 	DATA 	Keypress: space
29.0604 	EXP 	polygon: autoDraw = False
29.0604 	EXP 	polygon_2: autoDraw = False
29.4442 	EXP 	Sound sound_1 reached end of file
29.4605 	EXP 	Sound sound_1 started
29.7545 	EXP 	Sound sound_1 stopped
29.7734 	EXP 	text: autoDraw = True
29.7734 	EXP 	textbox: autoDraw = True
30.1078 	DATA 	Keypress: 3
30.4279 	DATA 	Keypress: 0
30.6201 	DATA 	Keypress: 0
31.5446 	DATA 	Mouse: Left button down, pos=(913,240)
31.5467 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'delay': 0.4, 'freq': 1000, 'condition': 'exp', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
31.5604 	EXP 	text: autoDraw = False
31.5604 	EXP 	textbox: autoDraw = False
31.5604 	EXP 	polygon: autoDraw = True
31.7471 	DATA 	Mouse:  Left button up, pos=(913,240)
32.5615 	INFO 	Keyboard events cleared
32.5606 	EXP 	polygon: autoDraw = False
32.5606 	EXP 	polygon_2: autoDraw = True
32.8485 	DATA 	Keypress: space
32.8604 	EXP 	polygon: autoDraw = False
32.8604 	EXP 	polygon_2: autoDraw = False
33.2444 	EXP 	Sound sound_1 reached end of file
33.2605 	EXP 	Sound sound_1 started
33.5541 	EXP 	Sound sound_1 stopped
33.5744 	EXP 	text: autoDraw = True
33.5744 	EXP 	textbox: autoDraw = True
33.9274 	DATA 	Keypress: 1
34.0889 	DATA 	Keypress: 0
34.2870 	DATA 	Keypress: 0
35.2211 	DATA 	Mouse: Left button down, pos=(913,240)
35.2290 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'delay': 0.4, 'freq': 400, 'condition': 'unexp', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
35.2436 	EXP 	text: autoDraw = False
35.2436 	EXP 	textbox: autoDraw = False
35.2436 	EXP 	polygon: autoDraw = True
35.4454 	DATA 	Mouse:  Left button up, pos=(913,240)
36.2445 	INFO 	Keyboard events cleared
36.2435 	EXP 	polygon: autoDraw = False
36.2435 	EXP 	polygon_2: autoDraw = True
36.4993 	DATA 	Keypress: space
36.5103 	EXP 	polygon: autoDraw = False
36.5103 	EXP 	polygon_2: autoDraw = False
36.8939 	EXP 	Sound sound_1 reached end of file
36.9102 	EXP 	Sound sound_1 started
37.2046 	EXP 	Sound sound_1 stopped
37.2240 	EXP 	text: autoDraw = True
37.2240 	EXP 	textbox: autoDraw = True
38.2899 	DATA 	Keypress: 9
38.4273 	DATA 	Keypress: 0
38.5867 	DATA 	Keypress: 0
39.4951 	DATA 	Mouse: Left button down, pos=(913,240)
39.4974 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'delay': 0.7, 'freq': 1000, 'condition': 'exp', 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
39.5101 	EXP 	text: autoDraw = False
39.5101 	EXP 	textbox: autoDraw = False
39.5101 	EXP 	polygon: autoDraw = True
39.7127 	DATA 	Mouse:  Left button up, pos=(913,240)
40.5110 	INFO 	Keyboard events cleared
40.5102 	EXP 	polygon: autoDraw = False
40.5102 	EXP 	polygon_2: autoDraw = True
40.7820 	DATA 	Keypress: space
40.7931 	EXP 	polygon: autoDraw = False
40.7931 	EXP 	polygon_2: autoDraw = False
41.4771 	EXP 	Sound sound_1 reached end of file
41.4934 	EXP 	Sound sound_1 started
41.7945 	EXP 	Sound sound_1 stopped
41.8121 	EXP 	text: autoDraw = True
41.8121 	EXP 	textbox: autoDraw = True
42.1781 	DATA 	Keypress: 3
42.3373 	DATA 	Keypress: 0
42.4867 	DATA 	Keypress: 0
43.8535 	DATA 	Mouse: Left button down, pos=(913,240)
43.8622 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'delay': 0.7, 'freq': 400, 'condition': 'unexp', 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
43.8767 	EXP 	text: autoDraw = False
43.8767 	EXP 	textbox: autoDraw = False
43.8767 	EXP 	polygon: autoDraw = True
44.0622 	DATA 	Mouse:  Left button up, pos=(913,240)
44.8773 	INFO 	Keyboard events cleared
44.8765 	EXP 	polygon: autoDraw = False
44.8765 	EXP 	polygon_2: autoDraw = True
44.8803 	DATA 	Keypress: space
45.0925 	EXP 	polygon: autoDraw = False
45.0925 	EXP 	polygon_2: autoDraw = False
45.7765 	EXP 	Sound sound_1 reached end of file
45.7928 	EXP 	Sound sound_1 started
46.0935 	EXP 	Sound sound_1 stopped
46.1056 	EXP 	text: autoDraw = True
46.1056 	EXP 	textbox: autoDraw = True
48.8234 	DATA 	Keypress: 1
49.1604 	DATA 	Keypress: 0
49.3053 	DATA 	Keypress: 0
51.2867 	DATA 	Mouse: Left button down, pos=(927,208)
51.2958 	EXP 	New trial (rep=0, index=10): <Trial 10 (10 in rep 0) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 10, 'thisTrialN': 10, 'thisRepN': 0}>
51.3097 	EXP 	text: autoDraw = False
51.3097 	EXP 	textbox: autoDraw = False
51.3097 	EXP 	polygon: autoDraw = True
51.4953 	DATA 	Mouse:  Left button up, pos=(927,208)
52.3106 	INFO 	Keyboard events cleared
52.3097 	EXP 	polygon: autoDraw = False
52.3097 	EXP 	polygon_2: autoDraw = True
55.6964 	DATA 	Mouse: Left button down, pos=(927,208)
55.7311 	DATA 	Mouse:  Left button up, pos=(927,208)
55.8460 	DATA 	Mouse: Left button down, pos=(927,208)
56.0795 	DATA 	Mouse:  Left button up, pos=(927,208)
56.2128 	DATA 	Mouse: Left button down, pos=(927,208)
56.4462 	DATA 	Mouse:  Left button up, pos=(927,208)
56.5816 	DATA 	Keypress: space
56.5928 	EXP 	polygon: autoDraw = False
56.5928 	EXP 	polygon_2: autoDraw = False
56.6762 	EXP 	Sound sound_1 reached end of file
56.6925 	EXP 	Sound sound_1 started
56.9877 	EXP 	Sound sound_1 stopped
57.0061 	EXP 	text: autoDraw = True
57.0061 	EXP 	textbox: autoDraw = True
57.8214 	DATA 	Keypress: 3
58.1765 	DATA 	Keypress: 0
58.3368 	DATA 	Keypress: 0
59.2035 	DATA 	Mouse: Left button down, pos=(927,208)
59.2117 	EXP 	New trial (rep=0, index=11): <Trial 11 (11 in rep 0) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 11, 'thisTrialN': 11, 'thisRepN': 0}>
59.2257 	EXP 	text: autoDraw = False
59.2257 	EXP 	textbox: autoDraw = False
59.2257 	EXP 	polygon: autoDraw = True
59.4131 	DATA 	Mouse:  Left button up, pos=(927,208)
60.2266 	INFO 	Keyboard events cleared
60.2258 	EXP 	polygon: autoDraw = False
60.2258 	EXP 	polygon_2: autoDraw = True
62.6290 	DATA 	Mouse: Left button down, pos=(927,208)
62.8622 	DATA 	Mouse:  Left button up, pos=(927,208)
63.6312 	DATA 	Keypress: space
63.6423 	EXP 	polygon: autoDraw = False
63.6423 	EXP 	polygon_2: autoDraw = False
63.7262 	EXP 	Sound sound_1 reached end of file
63.7425 	EXP 	Sound sound_1 started
64.0444 	EXP 	Sound sound_1 stopped
64.0629 	EXP 	text: autoDraw = True
64.0629 	EXP 	textbox: autoDraw = True
64.3886 	DATA 	Keypress: 2
64.8098 	DATA 	Keypress: 0
64.9855 	DATA 	Keypress: 0
65.8761 	DATA 	Keypress: return
66.9357 	DATA 	Keypress: backspace
67.4026 	DATA 	Mouse: Left button down, pos=(927,208)
67.4113 	EXP 	New trial (rep=1, index=0): <Trial 12 (0 in rep 1) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 12, 'thisTrialN': 0, 'thisRepN': 1}>
67.4256 	EXP 	text: autoDraw = False
67.4256 	EXP 	textbox: autoDraw = False
67.4256 	EXP 	polygon: autoDraw = True
67.6119 	DATA 	Mouse:  Left button up, pos=(927,208)
68.4264 	INFO 	Keyboard events cleared
68.4256 	EXP 	polygon: autoDraw = False
68.4256 	EXP 	polygon_2: autoDraw = True
71.8808 	DATA 	Keypress: space
71.8920 	EXP 	polygon: autoDraw = False
71.8920 	EXP 	polygon_2: autoDraw = False
71.9757 	EXP 	Sound sound_1 reached end of file
71.9920 	EXP 	Sound sound_1 started
72.2845 	EXP 	Sound sound_1 stopped
72.3028 	EXP 	text: autoDraw = True
72.3028 	EXP 	textbox: autoDraw = True
72.3338 	DATA 	Keypress: 2
72.7766 	DATA 	Keypress: 0
72.9524 	DATA 	Keypress: 0
74.3516 	DATA 	Mouse: Left button down, pos=(927,208)
74.3611 	EXP 	New trial (rep=1, index=1): <Trial 13 (1 in rep 1) data={'delay': 0.4, 'freq': 1000, 'condition': 'exp', 'thisN': 13, 'thisTrialN': 1, 'thisRepN': 1}>
74.3752 	EXP 	text: autoDraw = False
74.3752 	EXP 	textbox: autoDraw = False
74.3752 	EXP 	polygon: autoDraw = True
74.5774 	DATA 	Mouse:  Left button up, pos=(927,208)
75.3761 	INFO 	Keyboard events cleared
75.3753 	EXP 	polygon: autoDraw = False
75.3753 	EXP 	polygon_2: autoDraw = True
76.1971 	DATA 	Keypress: space
76.2085 	EXP 	polygon: autoDraw = False
76.2085 	EXP 	polygon_2: autoDraw = False
76.5921 	EXP 	Sound sound_1 reached end of file
76.6084 	EXP 	Sound sound_1 started
76.9045 	EXP 	Sound sound_1 stopped
76.9224 	EXP 	text: autoDraw = True
76.9224 	EXP 	textbox: autoDraw = True
77.1424 	DATA 	Keypress: 1
77.5353 	DATA 	Keypress: 0
77.7028 	DATA 	Keypress: 0
78.6534 	DATA 	Mouse: Left button down, pos=(928,207)
78.6601 	EXP 	New trial (rep=1, index=2): <Trial 14 (2 in rep 1) data={'delay': 0.7, 'freq': 1000, 'condition': 'exp', 'thisN': 14, 'thisTrialN': 2, 'thisRepN': 1}>
78.6748 	EXP 	text: autoDraw = False
78.6748 	EXP 	textbox: autoDraw = False
78.6748 	EXP 	polygon: autoDraw = True
78.8943 	DATA 	Mouse:  Left button up, pos=(928,207)
79.6760 	INFO 	Keyboard events cleared
79.6750 	EXP 	polygon: autoDraw = False
79.6750 	EXP 	polygon_2: autoDraw = True
82.4643 	DATA 	Keypress: space
82.4749 	EXP 	polygon: autoDraw = False
82.4749 	EXP 	polygon_2: autoDraw = False
83.1587 	EXP 	Sound sound_1 reached end of file
83.1749 	EXP 	Sound sound_1 started
83.4740 	EXP 	Sound sound_1 stopped
83.4758 	DATA 	Keypress: 1
83.4942 	EXP 	text: autoDraw = True
83.4942 	EXP 	textbox: autoDraw = True
83.7929 	DATA 	Keypress: 0
83.9589 	DATA 	Keypress: 0
85.4760 	DATA 	Mouse: Left button down, pos=(928,207)
85.4781 	EXP 	New trial (rep=1, index=3): <Trial 15 (3 in rep 1) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 15, 'thisTrialN': 3, 'thisRepN': 1}>
85.4914 	EXP 	text: autoDraw = False
85.4914 	EXP 	textbox: autoDraw = False
85.4914 	EXP 	polygon: autoDraw = True
85.6942 	DATA 	Mouse:  Left button up, pos=(928,207)
86.4926 	INFO 	Keyboard events cleared
86.4915 	EXP 	polygon: autoDraw = False
86.4915 	EXP 	polygon_2: autoDraw = True
88.5303 	DATA 	Keypress: space
88.5413 	EXP 	polygon: autoDraw = False
88.5413 	EXP 	polygon_2: autoDraw = False
88.6248 	EXP 	Sound sound_1 reached end of file
88.6412 	EXP 	Sound sound_1 started
88.9340 	EXP 	Sound sound_1 stopped
88.9507 	EXP 	text: autoDraw = True
88.9507 	EXP 	textbox: autoDraw = True
89.1887 	DATA 	Keypress: 4
89.5186 	DATA 	Keypress: 0
89.6847 	DATA 	Keypress: 0
91.6840 	DATA 	Mouse: Left button down, pos=(928,207)
91.6936 	EXP 	New trial (rep=1, index=4): <Trial 16 (4 in rep 1) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 16, 'thisTrialN': 4, 'thisRepN': 1}>
91.7080 	EXP 	text: autoDraw = False
91.7080 	EXP 	textbox: autoDraw = False
91.7080 	EXP 	polygon: autoDraw = True
91.8943 	DATA 	Mouse:  Left button up, pos=(928,207)
92.7085 	INFO 	Keyboard events cleared
92.7077 	EXP 	polygon: autoDraw = False
92.7077 	EXP 	polygon_2: autoDraw = True
93.9477 	DATA 	Keypress: space
93.9578 	EXP 	polygon: autoDraw = False
93.9578 	EXP 	polygon_2: autoDraw = False
94.0415 	EXP 	Sound sound_1 reached end of file
94.0578 	EXP 	Sound sound_1 started
94.3551 	EXP 	Sound sound_1 stopped
94.3655 	EXP 	text: autoDraw = True
94.3655 	EXP 	textbox: autoDraw = True
94.6487 	DATA 	Keypress: 1
95.2351 	DATA 	Keypress: 0
95.4344 	DATA 	Keypress: 0
96.7255 	DATA 	Mouse: Left button down, pos=(928,207)
96.9597 	DATA 	Mouse:  Left button up, pos=(928,207)
97.3253 	DATA 	Mouse: Left button down, pos=(928,207)
97.3275 	EXP 	New trial (rep=1, index=5): <Trial 17 (5 in rep 1) data={'delay': 0.4, 'freq': 1000, 'condition': 'exp', 'thisN': 17, 'thisTrialN': 5, 'thisRepN': 1}>
97.3408 	EXP 	text: autoDraw = False
97.3408 	EXP 	textbox: autoDraw = False
97.3408 	EXP 	polygon: autoDraw = True
97.5111 	DATA 	Mouse:  Left button up, pos=(928,207)
97.5115 	DATA 	Mouse: Left button down, pos=(928,207)
97.7433 	DATA 	Mouse:  Left button up, pos=(928,207)
98.3417 	INFO 	Keyboard events cleared
98.3410 	EXP 	polygon: autoDraw = False
98.3410 	EXP 	polygon_2: autoDraw = True
99.0460 	DATA 	Keypress: space
99.0574 	EXP 	polygon: autoDraw = False
99.0574 	EXP 	polygon_2: autoDraw = False
99.4412 	EXP 	Sound sound_1 reached end of file
99.4575 	EXP 	Sound sound_1 started
99.7545 	EXP 	Sound sound_1 stopped
99.7723 	EXP 	text: autoDraw = True
99.7723 	EXP 	textbox: autoDraw = True
100.4412 	DATA 	Keypress: 4
100.6833 	DATA 	Keypress: 0
100.8580 	DATA 	Keypress: 0
101.9678 	DATA 	Mouse: Left button down, pos=(928,207)
101.9766 	EXP 	New trial (rep=1, index=6): <Trial 18 (6 in rep 1) data={'delay': 0.4, 'freq': 1000, 'condition': 'exp', 'thisN': 18, 'thisTrialN': 6, 'thisRepN': 1}>
101.9908 	EXP 	text: autoDraw = False
101.9908 	EXP 	textbox: autoDraw = False
101.9908 	EXP 	polygon: autoDraw = True
102.1434 	DATA 	Mouse:  Left button up, pos=(928,207)
102.1439 	DATA 	Mouse: Left button down, pos=(928,207)
102.3768 	DATA 	Mouse:  Left button up, pos=(928,207)
102.9917 	INFO 	Keyboard events cleared
102.9908 	EXP 	polygon: autoDraw = False
102.9908 	EXP 	polygon_2: autoDraw = True
103.8959 	DATA 	Keypress: space
103.9073 	EXP 	polygon: autoDraw = False
103.9073 	EXP 	polygon_2: autoDraw = False
104.2909 	EXP 	Sound sound_1 reached end of file
104.3071 	EXP 	Sound sound_1 started
104.6045 	EXP 	Sound sound_1 stopped
104.6215 	EXP 	text: autoDraw = True
104.6215 	EXP 	textbox: autoDraw = True
105.0424 	DATA 	Keypress: 2
105.5339 	DATA 	Keypress: 0
105.7015 	DATA 	Keypress: 0
106.8110 	DATA 	Mouse: Left button down, pos=(928,207)
106.9842 	DATA 	Mouse:  Left button up, pos=(928,207)
106.9847 	DATA 	Mouse: Left button down, pos=(928,207)
107.1915 	DATA 	Mouse:  Left button up, pos=(928,207)
107.7336 	DATA 	Mouse: Left button down, pos=(928,207)
107.7428 	EXP 	New trial (rep=1, index=7): <Trial 19 (7 in rep 1) data={'delay': 0.7, 'freq': 400, 'condition': 'unexp', 'thisN': 19, 'thisTrialN': 7, 'thisRepN': 1}>
107.7573 	EXP 	text: autoDraw = False
107.7573 	EXP 	textbox: autoDraw = False
107.7573 	EXP 	polygon: autoDraw = True
107.8931 	DATA 	Mouse:  Left button up, pos=(928,207)
107.8937 	DATA 	Mouse: Left button down, pos=(928,207)
108.1098 	DATA 	Mouse:  Left button up, pos=(928,207)
108.7577 	INFO 	Keyboard events cleared
108.7571 	EXP 	polygon: autoDraw = False
108.7571 	EXP 	polygon_2: autoDraw = True
